id,fecha,iniciador,objetivo,provincia,fuente
677,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Twitter
678,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
679,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
680,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
681,2016-09-04,Oposicion,ISIS,Aleppo,Twitter
682,2015-02-25,Kurdistan Sirio,ISIS,Hasakeh,Twitter
683,2016-06-19,Oposicion,ISIS,Aleppo,Twitter
684,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
685,2015-04-21,Kurdistan Sirio,ISIS,Aleppo,Media
686,2016-06-03,Kurdistan Sirio,ISIS,Aleppo,Twitter
687,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
688,2016-05-28,Oposicion,ISIS,Aleppo,Twitter
689,2016-09-03,CJTF-OIR,ISIS,Aleppo,Twitter
690,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
691,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
692,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
693,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
694,2016-10-10,CJTF-OIR,ISIS,Aleppo,SOHR
695,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,Media
696,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
697,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
698,2016-06-08,Oposicion,ISIS,Aleppo,SOHR
699,2015-05-25,Kurdistan Sirio,ISIS,Aleppo,Twitter
700,2015-06-04,Kurdistan Sirio,ISIS,Raqqa,Media
701,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
702,2017-03-06,Gobierno Sirio,ISIS,Aleppo,SOHR
703,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
704,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
705,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
706,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
707,2015-06-07,Kurdistan Sirio,ISIS,Raqqa,SOHR
708,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
709,2015-02-18,Kurdistan Sirio,ISIS,Raqqa,SOHR
710,2015-02-26,Kurdistan Sirio,ISIS,Aleppo,Media
711,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
712,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
713,2016-04-13,Oposicion,ISIS,Aleppo,Twitter
714,2015-06-11,Kurdistan Sirio,ISIS,Raqqa,SOHR
715,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
716,2016-05-16,Oposicion,ISIS,Aleppo,Twitter
717,2016-04-16,Oposicion,ISIS,Aleppo,Twitter
718,2016-06-19,Oposicion,ISIS,Aleppo,Twitter
719,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
720,2016-08-28,Oposicion,ISIS,Aleppo,Twitter
721,2015-06-12,Kurdistan Sirio,ISIS,Raqqa,Media
722,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
723,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
724,2015-06-09,Kurdistan Sirio,ISIS,Raqqa,Media
725,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
726,2016-04-12,Oposicion,ISIS,Aleppo,Media
727,2015-05-21,Kurdistan Sirio,ISIS,Hasakeh,Media
728,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
729,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
730,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
731,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
732,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
733,2016-04-11,Oposicion,ISIS,Aleppo,Twitter
734,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
735,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
736,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
737,2015-05-21,Kurdistan Sirio,ISIS,Hasakeh,Media
738,2015-05-25,Kurdistan Sirio,ISIS,Aleppo,Twitter
739,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
740,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
741,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
742,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
743,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
744,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
745,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
746,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
747,2015-06-05,Kurdistan Sirio,ISIS,Raqqa,Media
748,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
749,2015-06-07,Kurdistan Sirio,ISIS,Raqqa,Twitter
750,2016-11-07,Oposicion,ISIS,Aleppo,SOHR
751,2016-04-11,Oposicion,ISIS,Aleppo,Twitter
752,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,SOHR
753,2015-06-05,Kurdistan Sirio,ISIS,Raqqa,Media
754,2016-09-06,Oposicion,ISIS,Aleppo,Twitter
755,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
756,2015-03-03,Kurdistan Sirio,ISIS,Hasakeh,Media
757,2015-05-29,Kurdistan Sirio,ISIS,Hasakeh,Media
758,2016-04-14,Oposicion,ISIS,Aleppo,Twitter
759,2016-08-28,Oposicion,Kurdistan Sirio,Aleppo,Twitter
760,2016-08-29,Oposicion,Kurdistan Sirio,Aleppo,Twitter
761,2015-06-12,Kurdistan Sirio,ISIS,Raqqa,Media
762,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
763,2015-06-09,Kurdistan Sirio,ISIS,Raqqa,Media
764,2016-01-11,Oposicion,ISIS,Aleppo,SOHR
765,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
766,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,SOHR
767,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
768,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
769,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
770,2016-06-03,Kurdistan Sirio,ISIS,Aleppo,Twitter
771,2016-01-12,Oposicion,ISIS,Aleppo,SOHR
